MONTH,DAY_OF_WEEK,DEP_DEL15,DEP_TIME_BLK,DISTANCE_GROUP,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND,CARRIER_HISTORICAL,DEP_AIRPORT_HIST,DAY_HISTORICAL,DEP_BLOCK_HIST
7,7,0,1500-1559,3,3,26,160,American Airlines Inc.,19534,79247,7972,2006675,11744595,9.82082928995461e-05,0.00017728721959309724,6,Douglas Municipal,35.219,-80.936,Chicago O'Hare International,0.0,0.0,0.0,95.0,4.25,0.2377091471954006,0.2732357375614027,0.22253848170480506,0.25547875927174646
4,1,0,1300-1359,4,4,63,50,SkyWest Airlines Inc.,18788,67082,3655,2743323,3472966,3.419267401443636e-05,9.900278805864171e-05,15,Stapleton International,39.774,-104.88,El Paso International,0.0,0.0,0.0,71.0,11.41,0.1546512650620071,0.12184873949579832,0.2379718670466495,0.19750294927251277
11,4,0,0001-0559,2,1,3,76,American Eagle Airlines Inc.,1148,25517,300,90547,1204766,0.00034840766560500434,0.00010686715174900371,3,Adams Field,34.729,-92.234,NONE,0.0,0.0,0.0,54.0,0.45,0.11755905511811024,0.18786731291566006,0.1398860693940963,0.06032663037440284
3,2,0,1500-1559,7,5,14,143,Southwest Airlines Co.,7612,114119,3282,1023434,13382999,6.178236301460919e-05,9.889412309998219e-05,19,San Diego International Lindbergh Fl,32.733,-117.187,San Jose International,0.0,0.0,0.0,64.0,8.05,0.2043892222493479,0.14144641301190822,0.13286823228849365,0.202036989687207
7,3,0,0800-0859,1,2,85,50,American Eagle Airlines Inc.,29376,28267,6058,3103410,1204766,0.00034840766560500434,0.00010686715174900371,15,Chicago O'Hare International,41.978,-87.906,Cincinnati/Northern Kentucky International,0.01,0.0,0.0,94.0,10.51,0.20326275598750435,0.19376083188908147,0.2030270924776752,0.11304974765681326
9,4,0,0800-0859,2,2,32,100,JetBlue Airways,11294,23638,844,955406,3190369,0.0001600389254787507,0.00012686617611396965,6,Ronald Reagan Washington National,38.852,-77.037,Logan International,0.01,0.0,0.0,89.0,3.8,0.17475791677571317,0.14415675297410777,0.16732145635599813,0.08425519018033036
11,3,0,0700-0759,8,1,18,150,American Airlines Inc.,6491,77179,979,874468,11744595,9.82082928995461e-05,0.00017728721959309724,22,Tampa International,27.973,-82.535,NONE,0.0,0.0,0.0,69.0,11.18,0.14230237360056072,0.18786731291566006,0.14749755226631342,0.07653538186400033
8,6,1,1900-1959,3,1,39,154,United Air Lines Inc.,23099,55706,6032,2743323,8501631,0.00025380424062159367,0.00022898547349326266,3,Stapleton International,39.774,-104.88,NONE,0.0,0.0,0.0,84.0,8.95,0.2214602874333307,0.18786731291566006,0.16186967124116694,0.32235817575083425
7,3,0,0800-0859,11,1,48,173,United Air Lines Inc.,19667,55374,2582,2780593,8501631,0.00025380424062159367,0.00022898547349326266,4,Los Angeles International,33.942,-118.408,NONE,0.0,0.0,0.0,72.0,8.05,0.2366009589770911,0.18786731291566006,0.2030270924776752,0.11304974765681326
7,2,1,2000-2059,1,6,3,99,American Airlines Inc.,4275,79247,593,385767,11744595,9.82082928995461e-05,0.00017728721959309724,12,Pittsburgh International,40.497,-80.236,Philadelphia International,0.68,0.0,0.0,89.0,8.95,0.2377091471954006,0.24362527716186252,0.20201193470140924,0.33619836198361985
10,3,0,0800-0859,2,2,50,149,Alaska Airlines Inc.,18105,22073,1724,2780593,2884187,3.233146156611231e-05,0.00017460144972655646,3,Los Angeles International,33.942,-118.408,San Francisco International,0.0,0.0,0.0,91.0,5.82,0.13477454337899544,0.14787117359656995,0.15751080971785858,0.09970275400207713
9,6,0,1200-1259,11,2,13,181,Alaska Airlines Inc.,4254,21620,267,719055,2884187,3.233146156611231e-05,0.00017460144972655646,5,Honolulu International,21.319,-157.922,Seattle International,0.0,0.0,0.0,81.0,6.93,0.14858916071299705,0.15846548507462688,0.1044504333891762,0.12769196328632193
1,2,0,1100-1159,4,2,23,76,American Eagle Airlines Inc.,11206,23760,114,955406,1204766,0.00034840766560500434,0.00010686715174900371,3,Ronald Reagan Washington National,38.852,-77.037,Northwest Arkansas Regional,0.0,0.0,0.0,62.0,12.3,0.20771687962340282,0.18786731291566006,0.15948943442579175,0.16662922862662294
11,5,0,1400-1459,4,3,56,70,Atlantic Southeast Airlines,26830,11090,1018,3103410,473794,0.0,0.0001998053656534928,0,Chicago O'Hare International,41.978,-87.906,Detroit Metro Wayne County,0.0,0.0,0.0,32.0,7.16,0.15692007797270954,0.14216058077798244,0.15372196735985677,0.16527816347310934
7,6,0,1200-1259,3,2,6,175,Southwest Airlines Co.,10124,117728,965,1065782,13382999,6.178236301460919e-05,9.889412309998219e-05,5,Salt Lake City International,40.784,-111.967,Chicago Midway International,0.0,0.0,0.0,95.0,4.92,0.21594507669470558,0.2879906723668869,0.20331257623419144,0.17458541458541457
7,1,1,1000-1059,2,3,18,143,Southwest Airlines Co.,5847,117728,3518,642980,13382999,6.178236301460919e-05,9.889412309998219e-05,18,Lambert-St. Louis International,38.747,-90.364,Tampa International,0.72,0.0,0.0,87.0,9.62,0.21594507669470558,0.23381801125703564,0.2199389713578136,0.14307556127786272
5,3,0,0700-0759,1,1,62,65,American Eagle Airlines Inc.,28802,27761,5975,3103410,1204766,0.00034840766560500434,0.00010686715174900371,9,Chicago O'Hare International,41.978,-87.906,NONE,0.8,0.0,0.0,58.0,8.28,0.19432692974547472,0.18786731291566006,0.1807751986583703,0.0970220588235294
3,5,0,1700-1759,3,5,4,143,Southwest Airlines Co.,1118,114119,381,124691,13382999,6.178236301460919e-05,9.889412309998219e-05,20,Albany International,42.746,-73.805,Chicago Midway International,0.24,0.0,0.0,51.0,6.93,0.2043892222493479,0.27287923109068113,0.20171141658757616,0.2252193162253013
6,1,1,1600-1659,5,4,14,132,Delta Air Lines Inc.,7008,87183,729,1413432,12460183,0.0001441658849878598,0.0001486602009422039,17,Miami International,25.792,-80.286,Detroit Metro Wayne County,0.01,0.0,0.0,98.0,4.92,0.20073005268776473,0.20273184759166069,0.25356818055271996,0.32778964972591285
4,3,1,1600-1659,2,6,52,66,SkyWest Airlines Inc.,22914,67082,1547,2907365,3472966,3.419267401443636e-05,9.900278805864171e-05,13,Dallas Fort Worth Regional,32.894,-97.03,Aspen Pitkin County Sardy Field,0.18,0.0,0.0,84.0,14.09,0.1546512650620071,0.18786731291566006,0.12761567933981727,0.24457780087889242
5,6,1,2200-2259,4,5,56,181,American Airlines Inc.,25360,78894,12702,2907365,11744595,9.82082928995461e-05,0.00017728721959309724,4,Dallas Fort Worth Regional,32.894,-97.03,Phoenix Sky Harbor International,1.05,0.0,0.0,65.0,6.93,0.25727301346271364,0.2253715185513237,0.1799073314349148,0.26631059983566147
11,3,0,1500-1559,7,1,8,160,American Airlines Inc.,5532,77179,693,642980,11744595,9.82082928995461e-05,0.00017728721959309724,3,Lambert-St. Louis International,38.747,-90.364,NONE,0.0,0.0,0.0,61.0,11.86,0.14230237360056072,0.18786731291566006,0.14749755226631342,0.16907735154074208
5,1,0,0900-0959,3,3,9,128,American Airlines Inc.,5139,78894,618,564680,11744595,9.82082928995461e-05,0.00017728721959309724,19,Louis Armstrong New Orleans International,29.991,-90.251,Douglas Municipal,0.0,0.0,0.0,84.0,7.83,0.25727301346271364,0.21422395157803717,0.19366788878704552,0.1314805371409145
3,4,0,0700-0759,4,1,11,160,American Airlines Inc.,4610,78308,389,477995,11744595,9.82082928995461e-05,0.00017728721959309724,5,Kansas City International,39.298,-94.714,NONE,0.0,0.0,0.0,38.0,14.09,0.1907914478619655,0.18786731291566006,0.17945184504670036,0.08736439794618384
1,1,0,2200-2259,1,6,19,50,SkyWest Airlines Inc.,11784,62105,2857,1486066,3472966,3.419267401443636e-05,9.900278805864171e-05,16,Detroit Metro Wayne County,42.217,-83.344,Piedmont Triad International,0.05,0.0,0.0,53.0,15.88,0.2080508474576271,0.15101070154577884,0.1769969124782088,0.18651379271199908
8,5,1,1200-1259,2,3,9,69,"Midwest Airline, Inc.",4088,28070,1081,344196,1529740,1.25293581928874e-06,0.00012382274422796983,11,Port Columbus International,39.991,-82.878,John F. Kennedy International,0.0,0.0,0.0,86.0,7.16,0.19564981557821653,0.2683722751599008,0.21104137238055018,0.18210098109595596
6,7,0,0700-0759,3,1,15,132,Delta Air Lines Inc.,5529,87183,773,800302,12460183,0.0001441658849878598,0.0001486602009422039,19,Portland International,45.589,-122.595,NONE,0.0,0.0,0.0,85.0,6.49,0.20073005268776473,0.18786731291566006,0.2707091566151969,0.11078761875574625
8,3,0,0700-0759,5,1,24,150,JetBlue Airways,10855,25270,3662,1680928,3190369,0.0001600389254787507,0.00012686617611396965,11,John F. Kennedy International,40.639,-73.777,NONE,0.35,0.0,0.0,91.0,8.28,0.3166625093539536,0.18786731291566006,0.22167235494880547,0.09866934471503891
2,2,1,2200-2259,2,7,2,143,Southwest Airlines Co.,6562,94922,4356,1093478,13382999,6.178236301460919e-05,9.889412309998219e-05,14,Friendship International,39.176,-76.671,Atlanta Municipal,0.81,0.0,0.0,35.0,9.17,0.25888729226540047,0.1949303820064263,0.20574501515922722,0.22785458269329237
9,6,0,0900-0959,3,2,10,76,SkyWest Airlines Inc.,13331,66731,3822,1486066,3472966,3.419267401443636e-05,9.900278805864171e-05,11,Detroit Metro Wayne County,42.217,-83.344,Richmond International,0.23,0.0,0.0,85.0,4.47,0.13815390217259377,0.12569444444444444,0.1044504333891762,0.10255390597384234
6,3,0,0900-0959,2,2,2,76,SkyWest Airlines Inc.,1199,71188,98,106354,3472966,3.419267401443636e-05,9.900278805864171e-05,11,Rochester Monroe County,43.121,-77.671,Detroit Metro Wayne County,0.46,0.0,0.0,81.0,5.14,0.20821040912886168,0.20273184759166069,0.2371748183838497,0.15193661229822564
7,6,0,1200-1259,2,4,20,143,Southwest Airlines Co.,12603,117728,925,1472200,13382999,6.178236301460919e-05,9.889412309998219e-05,15,Logan International,42.364,-71.006,Friendship International,0.0,0.0,0.0,82.0,9.84,0.21594507669470558,0.2613653875789798,0.20331257623419144,0.17458541458541457
1,4,0,1900-1959,2,5,4,160,American Airlines Inc.,3383,75506,479,429725,11744595,9.82082928995461e-05,0.00017728721959309724,5,Orange County,33.676,-117.867,Phoenix Sky Harbor International,0.0,0.0,0.0,64.0,2.91,0.16084351412341452,0.1481736733287388,0.19897175669359685,0.24791896499849564
9,7,0,1400-1459,5,2,22,173,United Air Lines Inc.,10832,51239,4673,1708599,8501631,0.00025380424062159367,0.00022898547349326266,6,Newark Liberty International,40.696,-74.172,Fort Lauderdale-Hollywood International,0.0,0.0,0.0,77.0,9.4,0.16761816443040542,0.1326486013986014,0.12687625287243925,0.15640697780619234
7,3,0,1500-1559,2,4,6,143,Southwest Airlines Co.,6167,117728,2339,874468,13382999,6.178236301460919e-05,9.889412309998219e-05,19,Tampa International,27.973,-82.535,Atlanta Municipal,0.06,0.0,0.0,90.0,5.59,0.21594507669470558,0.22141582873824198,0.2030270924776752,0.25547875927174646
3,5,0,0600-0659,2,1,11,90,Comair Inc.,1886,24032,179,170270,1245396,0.0,8.999810569042966e-05,5,Standiford Field,38.18,-85.739,NONE,0.0,0.0,0.0,39.0,6.26,0.17581488314883148,0.18786731291566006,0.20171141658757616,0.06481628127969591
7,1,0,1500-1559,2,4,86,50,SkyWest Airlines Inc.,35086,72721,2297,4365661,3472966,3.419267401443636e-05,9.900278805864171e-05,19,Atlanta Municipal,33.641,-84.427,Greater Peoria,0.0,0.0,0.0,91.0,3.36,0.18837350060526026,0.18786731291566006,0.2199389713578136,0.25547875927174646
7,1,1,1900-1959,7,5,27,160,American Airlines Inc.,26639,79247,13367,2907365,11744595,9.82082928995461e-05,0.00017728721959309724,8,Dallas Fort Worth Regional,32.894,-97.03,Raleigh-Durham International,0.01,0.0,0.0,92.0,9.62,0.2377091471954006,0.21219953476350478,0.2199389713578136,0.35212814645308926
8,2,0,1800-1859,4,2,82,160,American Airlines Inc.,27148,80820,13678,2907365,11744595,9.82082928995461e-05,0.00017728721959309724,18,Dallas Fort Worth Regional,32.894,-97.03,Miami International,0.0,0.0,0.0,102.0,7.61,0.22821516863056462,0.2956124677387334,0.21854794364701643,0.30838624917889207
6,6,0,1000-1059,5,2,24,76,Endeavor Air Inc.,14197,21319,965,1581456,1212846,0.0,9.351277617445623e-05,5,Minneapolis-St Paul International,44.886,-93.218,Washington Dulles International,0.0,0.0,0.0,94.0,5.59,0.2544042748601486,0.2011132623426912,0.23068835866640533,0.17235203820569675
10,1,1,0001-0559,6,1,18,180,Frontier Airlines Inc.,22355,12581,2616,2743323,1857122,0.00011572564827677376,7.134694872433899e-06,9,Stapleton International,39.774,-104.88,NONE,0.22,2.0,3.9,21.0,5.37,0.254606995110944,0.18786731291566006,0.16357066230026537,0.06897865853658537
10,4,1,1700-1759,2,3,12,149,Delta Air Lines Inc.,6015,86312,625,642980,12460183,0.0001441658849878598,0.0001486602009422039,28,Lambert-St. Louis International,38.747,-90.364,Atlanta Municipal,0.0,0.0,0.0,62.0,3.8,0.11841485333379867,0.15888799559937375,0.19261931791673795,0.21093117408906883
11,7,1,1500-1559,2,5,5,70,Comair Inc.,2035,23395,218,170270,1245396,0.0,8.999810569042966e-05,15,Standiford Field,38.18,-85.739,Douglas Municipal,0.0,0.0,0.0,49.0,1.34,0.17646132030880732,0.15125558239988285,0.11388531555763458,0.16907735154074208
7,7,0,2000-2059,2,3,28,76,Endeavor Air Inc.,13900,21554,1742,1208249,1212846,0.0,9.351277617445623e-05,12,LaGuardia,40.779,-73.876,Myrtle Beach International,0.0,0.0,0.0,92.0,11.41,0.19076691477795435,0.2238372093023256,0.22253848170480506,0.33619836198361985
11,4,0,1500-1559,5,1,24,100,JetBlue Airways,9943,24694,3296,1680928,3190369,0.0001600389254787507,0.00012686617611396965,13,John F. Kennedy International,40.639,-73.777,NONE,0.0,0.0,0.0,53.0,7.38,0.18825075075075076,0.18786731291566006,0.1398860693940963,0.16907735154074208
10,1,0,1800-1859,8,4,16,160,Delta Air Lines Inc.,7503,86312,774,732595,12460183,0.0001441658849878598,0.0001486602009422039,20,Nashville International,36.127,-86.682,Salt Lake City International,0.83,0.0,0.0,82.0,3.8,0.11841485333379867,0.10434399765189316,0.16357066230026537,0.22621527008463685
5,1,0,0600-0659,5,1,16,200,JetBlue Airways,10815,24886,3537,1680928,3190369,0.0001600389254787507,0.00012686617611396965,3,John F. Kennedy International,40.639,-73.777,NONE,0.0,0.0,0.0,67.0,8.95,0.21838226186052273,0.18786731291566006,0.19366788878704552,0.06922199047656527
4,3,0,2000-2059,5,4,20,228,Spirit Air Lines,12669,16316,433,1472200,2688839,9.173723925704242e-06,0.00012465107307156237,3,Logan International,42.364,-71.006,Fort Lauderdale-Hollywood International,0.4,0.0,0.0,65.0,18.12,0.18651621467855112,0.22543933054393306,0.12761567933981727,0.24885020523218437
3,4,1,1300-1359,4,3,25,143,Southwest Airlines Co.,11965,114119,1338,955406,13382999,6.178236301460919e-05,9.889412309998219e-05,13,Ronald Reagan Washington National,38.852,-77.037,Atlanta Municipal,0.0,0.0,0.0,75.0,11.18,0.2043892222493479,0.14253202966958867,0.17945184504670036,0.1926021628864006
7,4,0,0800-0859,5,1,33,191,Delta Air Lines Inc.,10704,90457,2868,1680928,12460183,0.0001441658849878598,0.0001486602009422039,1,John F. Kennedy International,40.639,-73.777,NONE,0.0,0.0,0.0,86.0,6.26,0.19021873914984375,0.18786731291566006,0.22800718132854578,0.11304974765681326
6,7,1,1400-1459,4,2,43,76,Endeavor Air Inc.,25390,21319,171,2907365,1212846,0.0,9.351277617445623e-05,11,Dallas Fort Worth Regional,32.894,-97.03,Cincinnati/Northern Kentucky International,0.01,0.0,0.0,90.0,10.74,0.2544042748601486,0.2490527040992077,0.2707091566151969,0.2673144795343081
6,5,0,1100-1159,2,2,3,65,American Eagle Airlines Inc.,1424,27159,135,118923,1204766,0.00034840766560500434,0.00010686715174900371,9,Des Moines Municipal,41.534,-93.657,Chicago O'Hare International,0.01,0.0,0.0,76.0,12.75,0.24696065031292713,0.3082476265822785,0.22267777065983343,0.19077451190731604
3,5,0,1600-1659,5,3,7,142,United Air Lines Inc.,4192,53007,216,385767,8501631,0.00025380424062159367,0.00022898547349326266,21,Pittsburgh International,40.497,-80.236,Houston Intercontinental,0.0,0.0,0.0,36.0,4.92,0.18402961396086726,0.15894342381866375,0.20171141658757616,0.21635943656868517
1,2,0,1500-1559,4,3,8,76,Mesa Airlines Inc.,2641,17869,141,289569,1191889,0.0,9.131157116170832e-05,3,Jacksonville International,30.485,-81.688,Washington Dulles International,0.0,0.0,0.0,55.0,4.92,0.16515121565526783,0.1480656832730309,0.15948943442579175,0.2100527886160202
3,4,0,0600-0659,5,1,13,128,American Airlines Inc.,3488,78308,799,401950,11744595,9.82082928995461e-05,0.00017728721959309724,6,San Antonio International,29.533,-98.469,NONE,0.01,0.0,0.0,78.0,11.63,0.1907914478619655,0.18786731291566006,0.17945184504670036,0.06481628127969591
10,3,0,1700-1759,3,2,7,69,"Midwest Airline, Inc.",4135,28628,292,404265,1529740,1.25293581928874e-06,0.00012382274422796983,13,Cleveland-Hopkins International,41.411,-81.849,Logan International,0.39,0.0,0.0,64.0,6.93,0.15603553758578498,0.1866751809280545,0.15751080971785858,0.21093117408906883
11,4,0,1800-1859,3,4,83,160,American Airlines Inc.,24926,77179,12790,2907365,11744595,9.82082928995461e-05,0.00017728721959309724,18,Dallas Fort Worth Regional,32.894,-97.03,Tucson International,0.04,0.0,0.0,77.0,11.86,0.14230237360056072,0.127838519764508,0.1398860693940963,0.19261614388079534
11,1,1,1800-1859,2,6,81,76,American Eagle Airlines Inc.,24926,25517,4903,2907365,1204766,0.00034840766560500434,0.00010686715174900371,2,Dallas Fort Worth Regional,32.894,-97.03,Bush Field,0.0,0.0,0.0,71.0,4.03,0.11755905511811024,0.18786731291566006,0.15229332867485781,0.19261614388079534
2,7,1,2100-2159,5,4,1,129,Allegiant Air,1211,7180,59,118923,1257616,1.3252580061983643e-05,0.00010774347590392701,11,Des Moines Municipal,41.534,-93.657,McCarran International,0.25,3.0,1.2,28.0,5.59,0.2232196289646918,0.27188996684268696,0.19104526288815896,0.29165506358488813
6,2,1,1600-1659,10,2,24,168,Delta Air Lines Inc.,18543,87183,3266,2780593,12460183,0.0001441658849878598,0.0001486602009422039,23,Los Angeles International,33.942,-118.408,John F. Kennedy International,0.0,0.0,0.0,68.0,8.05,0.20073005268776473,0.24201590082199165,0.23238814664486912,0.32778964972591285
10,5,1,0600-0659,7,1,49,157,Alaska Airlines Inc.,29960,22073,326,3103410,2884187,3.233146156611231e-05,0.00017460144972655646,7,Chicago O'Hare International,41.978,-87.906,NONE,0.0,0.0,0.0,48.0,3.8,0.13477454337899544,0.18786731291566006,0.19371339610052635,0.0585253967666753
11,6,0,0800-0859,2,2,76,50,SkyWest Airlines Inc.,26830,66502,4964,3103410,3472966,3.419267401443636e-05,9.900278805864171e-05,17,Chicago O'Hare International,41.978,-87.906,Akron-Canton Regional,0.0,0.0,0.0,46.0,10.29,0.1363774826367735,0.18786731291566006,0.13570632037123637,0.09431699485473326
12,6,0,0600-0659,3,1,20,146,Alaska Airlines Inc.,13645,21752,1778,1908862,2884187,3.233146156611231e-05,0.00017460144972655646,8,San Francisco International,37.619,-122.375,NONE,0.0,0.0,0.0,62.0,4.03,0.24070505958752586,0.18786731291566006,0.20042836207868334,0.08193870057588992
8,4,0,1800-1859,8,3,14,228,Spirit Air Lines,14631,18296,997,1486066,2688839,9.173723925704242e-06,0.00012465107307156237,1,Detroit Metro Wayne County,42.217,-83.344,San Diego International Lindbergh Fl,0.0,0.0,0.0,81.0,13.42,0.2658898305084746,0.16095832630335752,0.2420213543952026,0.30838624917889207
7,1,1,1700-1759,4,5,30,143,Southwest Airlines Co.,12133,117728,3548,1823051,13382999,6.178236301460919e-05,9.889412309998219e-05,13,Orlando International,28.432,-81.325,Chicago Midway International,0.32,0.0,0.0,94.0,5.14,0.21594507669470558,0.2879906723668869,0.2199389713578136,0.31053443569761463
